,小类
339,耐克专卖店
340,阿迪达斯专卖店
341,锐步专卖店
342,彪马专卖店
343,高尔夫用品店
344,户外用品
345,特色商业街
346,步行街
347,服装鞋帽皮具店
348,品牌服装店
349,品牌鞋店
350,品牌皮具店
351,品牌箱包店
352,专营店
353,古玩字画店
354,珠宝首饰工艺品
355,钟表店
356,眼镜店
357,书店
358,音像店
359,儿童用品店
360,自行车专卖店
361,礼品饰品店
362,烟酒专卖店
363,宠物用品店
364,摄影器材店
365,宝马生活方式
366,土特产专卖店
367,特殊买卖场所
368,拍卖行
369,典当行
370,其它个人用品店
371,莎莎
372,生活服务场所
373,旅行社
374,信息咨询中心
375,服务中心
376,旅馆问讯
377,行李查询/行李问询
378,售票处
379,飞机票代售点
380,火车票代售点
381,长途汽车票代售点
382,船票代售点
383,公交卡/月票代售点
384,公园景点售票处
385,邮局
386,邮政速递
387,物流速递
388,物流仓储场地
389,电讯营业厅
390,中国电信营业厅
391,中国移动营业厅
392,中国联通营业厅
393,中国铁通营业厅
394,中国卫通营业厅
395,和记电讯
396,数码通电讯
397,电讯盈科
398,中国移动香港
399,事务所
400,律师事务所
401,会计师事务所
402,评估事务所
403,审计事务所
404,认证事务所
405,专利事务所
406,人才市场
407,自来水营业厅
408,电力营业厅
409,美容美发店
410,维修站点
411,摄影冲印
412,洗浴推拿场所
413,洗衣店
414,中介机构
415,搬家公司
416,彩票彩券销售点
417,马会投注站
418,丧葬设施
419,陵园
420,公墓
421,殡仪馆
422,婴儿服务场所
423,婴儿游泳馆
424,体育休闲服务场所
425,运动场所
426,综合体育馆
427,保龄球馆
428,网球场
429,篮球场馆
430,足球场
431,滑雪场
432,溜冰场
433,户外健身场所
434,海滨浴场
435,游泳馆
436,健身中心
437,乒乓球馆
438,台球厅
439,壁球场
440,马术俱乐部
441,赛马场
442,橄榄球场
443,羽毛球场
444,跆拳道场馆
445,高尔夫相关
446,高尔夫球场
447,高尔夫练习场
448,娱乐场所
449,夜总会
450,KTV
451,迪厅
452,酒吧
453,游戏厅
454,棋牌室
455,博彩中心
456,网吧
457,度假疗养场所
458,度假村
459,疗养院
460,休闲场所
461,游乐场
462,垂钓园
463,采摘园
464,露营地
465,水上活动中心
466,影剧院相关
467,电影院
468,音乐厅
469,剧场
470,医疗保健服务场所
471,综合医院
472,三级甲等医院
473,卫生院
474,专科医院
475,整形美容
476,口腔医院
477,眼科医院
478,耳鼻喉医院
479,胸科医院
480,骨科医院
481,肿瘤医院
482,脑科医院
483,妇科医院
484,精神病医院
485,传染病医院
486,诊所
487,急救中心
488,疾病预防
489,医药保健相关
490,药房
491,医疗保健用品
492,动物医疗场所
493,宠物诊所
494,兽医站
495,住宿服务相关
496,宾馆酒店
497,奢华酒店
498,五星级宾馆
499,四星级宾馆
500,三星级宾馆
501,经济型连锁酒店
502,旅馆招待所
503,青年旅舍
504,旅游景点
505,公园广场
506,公园
507,动物园
508,植物园
509,水族馆
510,城市广场
511,公园内部设施
512,风景名胜
513,世界遗产
514,国家级景点
515,省级景点
516,纪念馆
517,寺庙道观
518,教堂
519,回教寺
520,海滩
521,观景点
522,商务住宅相关
523,产业园区
524,楼宇相关
525,商务写字楼
526,工业大厦建筑物
527,商住两用楼宇
528,住宅区
529,别墅
530,住宅小区
531,宿舍
532,社区中心
533,政府及社会团体相关
534,政府机关相关
535,国家级机关及事业单位
536,省直辖市级政府及事业单位
537,地市级政府及事业单位
538,区县级政府及事业单位
539,乡镇级政府及事业单位
540,乡镇以下级政府及事业单位
541,外地政府办
542,外国机构相关
543,外国使领馆
544,国际组织办事处
545,民主党派
546,社会团体相关
547,共青团
548,少先队
549,妇联
550,残联
551,红十字会
552,消费者协会
553,行业协会
554,慈善机构
555,教会
556,公检法机关
557,公安警察
558,检察院
559,法院
560,消防机关
561,公证鉴定机构
562,社会治安机构
563,交通车辆管理相关
564,交通管理机构
565,车辆管理机构
566,验车场
567,交通执法站
568,车辆通行证办理处
569,货车相关检查站
570,工商税务机构
571,工商部门
572,国税机关
573,地税机关
574,科教文化场所
575,博物馆
576,奥迪博物馆
577,梅赛德斯-奔驰博物馆
578,展览馆
579,室内展位
580,会展中心
581,美术馆
582,图书馆
583,科技馆
584,天文馆
585,文化宫
586,档案馆
587,文艺团体
588,传媒机构
589,电视台
590,电台
591,报社
592,杂志社
593,出版社
594,学校
595,高等院校
596,中学
597,小学
598,幼儿园
599,成人教育
600,职业技术学校
601,学校内部设施
602,科研机构
603,培训机构
604,驾校
605,交通服务相关
606,机场相关
607,候机室
608,摆渡车站
609,飞机场
610,机场出发/到达
611,直升机场
612,机场货运处
613,火车站
614,候车室
615,进站口/检票口
616,出站口
617,站台
618,售票
619,退票
620,改签
621,公安制证
622,票务相关
623,货运火车站
624,港口码头
625,客运港
626,车渡口
627,人渡口
628,货运港口码头
629,长途汽车站
630,地铁站
631,出入口
632,轻轨站
633,公交车站相关
634,旅游专线车站
635,普通公交站
636,机场巴士
637,班车站
638,停车场相关
639,换乘停车场
640,公共停车场
641,专用停车场
642,路边停车场
643,停车场入口
644,停车场出口
645,停车场出入口
646,过境口岸
647,出租车
648,轮渡站
649,索道站
650,金融保险机构
651,银行
652,中国人民银行
653,国家开发银行
654,中国进出口银行
655,中国银行
656,中国工商银行
657,中国建设银行
658,中国农业银行
659,交通银行
660,招商银行
661,华夏银行
662,中信银行
663,中国民生银行
664,中国光大银行
665,上海银行
666,上海浦东发展银行
667,平安银行
668,兴业银行
669,北京银行
670,广发银行
671,农村商业银行
672,香港恒生银行
673,东亚银行
674,花旗银行
675,渣打银行
676,汇丰银行
677,荷兰银行
678,美国运通银行
679,瑞士友邦银行
680,美国银行
681,蒙特利尔银行
682,纽约银行
683,苏格兰皇家银行
684,法国兴业银行
685,德意志银行
686,日本三菱东京日联银行
687,巴克莱银行
688,摩根大通银行
689,中国邮政储蓄银行
690,香港星展银行
691,南洋商业银行
692,上海商业银行
693,永亨银行
694,香港永隆银行
695,创兴银行
696,大新银行
697,中信银行(国际)
698,大众银行(香港)
699,北京农商银行
700,上海农商银行
701,广州农商银行
702,深圳农村商业银行
703,银行相关
704,自动提款机
705,中国银行ATM
706,中国工商银行ATM
707,中国建设银行ATM
708,中国农业银行ATM
709,交通银行ATM
710,招商银行ATM
711,华夏银行ATM
712,中信银行ATM
713,中国民生银行ATM
714,中国光大银行ATM
715,上海银行ATM
716,上海浦东发展银行ATM
717,平安银行ATM
718,兴业银行ATM
719,北京银行ATM
720,广发银行ATM
721,农村商业银行ATM
722,香港恒生银行ATM
723,东亚银行ATM
724,花旗银行ATM
725,渣打银行ATM
726,汇丰银行ATM
727,荷兰银行ATM
728,美国运通银行ATM
729,瑞士友邦银行ATM
730,美国银行ATM
731,蒙特利尔银行ATM
732,纽约银行ATM
733,苏格兰皇家银行ATM
734,法国兴业银行ATM
735,德意志银行ATM
736,日本三菱东京日联银行ATM
737,巴克莱银行ATM
738,摩根大通银行ATM
739,中国邮政储蓄银行ATM
740,香港星展银行ATM
741,南洋商业银行ATM
742,上海商业银行ATM
743,永亨银行ATM
744,香港永隆银行ATM
745,创兴银行ATM
746,大新银行ATM
747,中信银行(国际)ATM
748,大众银行(香港)ATM
749,北京农商银行ATM
750,上海农商银行ATM
751,广州农商银行ATM
752,深圳农村商业银行ATM
753,保险公司
754,中国人民保险公司
755,中国人寿保险公司
756,中国平安保险公司
757,中国再保险公司
758,中国太平洋保险
759,新华人寿保险公司
760,华泰财产保险股份有限公司
761,泰康人寿保险公司
762,证券公司
763,证券营业厅
764,财务公司
765,公司企业
766,知名企业
767,公司
768,广告装饰
769,建筑公司
770,医药公司
771,机械电子
772,冶金化工
773,网络科技
774,商业贸易
775,电信公司
776,矿产公司
777,工厂
778,其它农林牧渔基地
779,渔场
780,农场
781,林场
782,牧场
783,家禽养殖基地
784,蔬菜基地
785,水果基地
786,花卉苗圃基地
787,道路附属设施
788,警示信息
789,摄像头
790,测速设施
791,铁路道口
792,违章停车
793,收费站
794,高速收费站
795,国省道收费站
796,桥洞收费站
797,高速服务区
798,高速加油站服务区
799,高速停车区
800,红绿灯
801,路牌信息
802,地名地址信息
803,普通地名
804,国家名
805,省级地名
806,直辖市级地名
807,地市级地名
808,区县级地名
809,乡镇级地名
810,街道级地名
811,村庄级地名
812,村组级地名
813,自然地名
814,海湾海峡
815,岛屿
816,山
817,河流
818,湖泊
819,交通地名
820,道路名
821,路口名
822,环岛名
823,高速路出口
824,高速路入口
825,立交桥
826,桥
827,城市快速路出口
828,城市快速路入口
829,隧道
830,铁路
831,门牌信息
832,地名门牌
833,道路门牌
834,楼栋号
835,城市中心
836,标志性建筑物
837,热点地名
838,公共设施
839,报刊亭
840,公用电话
841,公共厕所
842,男洗手间
843,女洗手间
844,残障洗手间/无障碍洗手间
845,婴儿换洗间/哺乳室/母婴室
846,紧急避难场所
847,事件活动
848,公众活动
849,节日庆典
850,展会展览
851,体育赛事
852,文艺演出
853,大型会议
854,运营活动
855,商场活动
856,突发事件
857,自然灾害
858,事故灾难
859,城市新闻
860,公共卫生事件
861,公共社会事件
862,室内设施
863,通行设施
864,建筑物门
865,建筑物正门
866,临街院门
867,临街院正门
868,虚拟门
